iter	Passed	Remaining
544	6925	5781
545	6938	5769
546	6953	5758
547	6967	5746
548	6982	5736
549	6996	5724
550	7007	5710
551	7018	5695
552	7029	5681
553	7041	5668
554	7054	5656
555	7063	5640
556	7075	5627
557	7089	5615
558	7102	5603
559	7116	5591
560	7127	5577
561	7139	5564
562	7149	5549
563	7160	5535
564	7175	5524
565	7187	5511
566	7203	5501
567	7214	5487
568	7228	5475
569	7242	5464
570	7254	5450
571	7266	5437
572	7277	5423
573	7288	5409
574	7300	5395
575	7311	5381
576	7325	5370
577	7335	5355
578	7349	5344
579	7362	5331
580	7374	5318
581	7386	5305
582	7398	5291
583	7412	5280
584	7422	5265
585	7435	5253
586	7445	5238
587	7456	5224
588	7470	5212
589	7482	5199
590	7492	5185
591	7502	5170
592	7514	5157
593	7526	5144
594	7539	5131
595	7550	5118
596	7563	5105
597	7575	5092
598	7587	5079
599	7601	5067
600	7616	5056
601	7630	5044
602	7645	5033
603	7657	5020
604	7674	5010
605	7684	4996
606	7697	4983
607	7707	4969
608	7719	4956
609	7728	4941
610	7740	4928
611	7753	4915
612	7766	4903
613	7778	4890
614	7790	4877
615	7803	4864
616	7816	4851
617	7829	4839
618	7839	4825
619	7849	4811
620	7861	4797
621	7871	4783
622	7884	4771
623	7897	4758
624	7907	4744
625	7923	4733
626	7935	4720
627	7947	4707
628	7959	4695
629	7972	4682
630	7986	4670
631	7997	4656
632	8011	4645
633	8024	4632
634	8036	4619
635	8050	4607
636	8060	4593
637	8073	4580
638	8083	4567
639	8095	4553
640	8106	4540
641	8120	4528
642	8133	4516
643	8147	4504
644	8159	4491
645	8171	4477
646	8182	4464
647	8194	4451
648	8206	4438
649	8222	4427
650	8232	4413
651	8245	4400
652	8256	4387
653	8272	4376
654	8283	4362
655	8294	4349
656	8307	4337
657	8319	4323
658	8329	4310
659	8344	4298
660	8360	4287
661	8371	4274
662	8387	4263
663	8397	4249
664	8412	4238
665	8424	4224
666	8437	4212
667	8447	4198
668	8459	4185
669	8470	4171
670	8484	4159
671	8494	4146
672	8506	4133
673	8518	4120
674	8532	4108
675	8545	4095
676	8558	4083
677	8570	4070
678	8583	4057
679	8594	4044
680	8605	4030
681	8615	4017
682	8627	4004
683	8640	3991
684	8653	3979
685	8665	3966
686	8681	3955
687	8693	3942
688	8705	3929
689	8717	3916
690	8728	3903
691	8739	3890
692	8752	3877
693	8763	3863
694	8774	3850
695	8786	3837
696	8798	3824
697	8814	3813
698	8826	3800
699	8840	3788
700	8851	3775
701	8861	3761
702	8873	3748
703	8885	3735
704	8895	3722
705	8907	3709
706	8920	3696
707	8932	3683
708	8945	3671
709	8959	3659
710	8969	3645
711	8984	3634
712	8997	3621
713	9010	3609
714	9022	3596
715	9034	3583
716	9046	3570
717	9059	3558
718	9073	3546
719	9087	3534
720	9099	3521
721	9110	3507
722	9123	3495
723	9134	3482
724	9147	3469
725	9159	3456
726	9171	3444
727	9181	3430
728	9194	3418
729	9205	3404
730	9216	3391
731	9227	3378
732	9238	3365
733	9250	3352
734	9264	3340
735	9275	3327
736	9285	3313
737	9299	3301
738	9312	3288
739	9327	3277
740	9340	3264
741	9351	3251
742	9366	3239
743	9380	3227
744	9390	3214
745	9403	3201
746	9416	3189
747	9426	3175
748	9437	3162
749	9447	3149
750	9461	3136
751	9474	3124
752	9487	3112
753	9501	3099
754	9514	3087
755	9527	3074
756	9538	3061
757	9553	3050
758	9563	3036
759	9573	3023
760	9584	3010
761	9595	2997
762	9606	2984
763	9617	2970
764	9629	2957
765	9641	2945
766	9653	2932
767	9665	2919
768	9680	2907
769	9694	2895
770	9707	2883
771	9718	2870
772	9733	2858
