iter	RMSE
402	18649.07187
403	18630.05663
404	18609.77635
405	18593.45885
406	18581.26711
407	18555.14339
408	18539.24161
409	18515.81955
410	18498.95726
411	18477.97918
412	18463.81191
413	18445.5314
414	18433.10525
415	18415.58497
416	18398.04473
417	18380.25201
418	18362.22193
419	18342.17843
420	18330.60059
421	18310.60009
422	18291.97431
423	18278.12026
424	18266.80713
425	18252.90377
426	18238.8913
427	18224.31754
428	18216.15057
429	18206.30939
430	18189.49682
431	18178.18584
432	18164.84163
433	18146.83346
434	18138.53903
435	18125.50023
436	18107.44832
437	18098.00023
438	18090.56933
439	18074.06106
440	18064.30746
441	18045.38199
442	18023.25505
443	18004.71647
444	17982.22045
445	17964.2021
446	17948.77784
447	17931.14339
448	17905.36577
449	17883.2789
450	17867.48951
451	17850.88298
452	17839.05497
453	17825.0055
454	17803.74932
455	17780.3064
456	17765.96922
457	17749.57406
458	17727.83847
459	17718.97827
460	17707.6735
461	17694.17751
462	17680.55127
463	17668.22344
464	17649.63256
465	17632.9474
466	17610.90655
467	17602.19439
468	17589.40585
469	17571.01363
470	17556.94582
471	17532.65641
472	17519.73263
473	17503.45132
474	17488.07058
475	17477.13051
476	17462.35608
477	17447.44063
478	17438.4585
479	17424.49519
480	17410.60426
481	17398.18346
482	17389.0237
483	17373.65121
484	17360.73678
485	17346.50497
486	17337.08895
487	17319.40898
488	17304.66717
489	17292.45395
490	17273.04391
491	17257.70772
492	17245.21708
493	17234.01921
494	17225.59855
495	17205.9234
496	17189.526
497	17171.11268
498	17158.12739
499	17142.51139
500	17130.09443
501	17121.18176
502	17102.62363
503	17092.25123
504	17080.86811
505	17072.8379
506	17052.80698
507	17036.15763
508	17028.20139
509	17007.25946
510	16993.51729
511	16982.88264
512	16974.34753
513	16949.91261
514	16936.81417
515	16917.95986
516	16900.94554
517	16885.47629
518	16875.53094
519	16865.96976
520	16836.49
521	16828.145
522	16800.91377
523	16793.60383
524	16765.57639
525	16752.05937
526	16746.14314
527	16727.04429
528	16714.16233
529	16695.00864
530	16678.31644
531	16671.50318
532	16659.91103
533	16645.3637
534	16634.0089
535	16613.29626
536	16599.32669
537	16579.49519
538	16564.34862
539	16549.52057
540	16536.85952
541	16522.41891
542	16510.31856
543	16495.44888
544	16483.33129
545	16469.04934
546	16464.0152
547	16445.37351
548	16434.75785
549	16428.74831
550	16411.29214
551	16392.96271
552	16376.79474
553	16357.90476
554	16340.9476
555	16324.17758
556	16317.2678
557	16307.49805
558	16292.1446
559	16284.82004
560	16267.15463
561	16254.096
562	16245.05054
563	16234.50515
564	16218.52219
565	16203.47465
566	16188.31861
567	16168.12007
568	16150.19454
569	16138.18222
570	16126.69944
571	16108.37269
572	16093.3839
573	16082.59104
574	16074.43484
575	16070.4505
576	16060.09123
577	16047.75016
578	16029.76295
579	16015.52685
580	16001.47797
581	15987.28602
582	15970.63086
583	15957.59869
584	15941.43758
585	15930.41533
586	15909.73253
587	15888.36984
588	15875.69941
589	15862.57305
590	15853.57799
591	15841.08263
592	15832.9925
593	15815.74547
594	15799.46041
595	15780.01063
596	15766.50319
597	15753.7823
598	15738.71012
599	15728.00003
600	15717.41046
601	15706.20491
602	15692.59356
603	15685.06422
604	15671.70779
605	15650.30702
606	15638.34409
607	15633.84909
608	15616.59723
609	15609.87224
610	15597.6153
611	15582.88214
612	15572.11406
613	15563.79489
614	15550.62441
615	15535.57737
616	15526.26797
617	15510.53148
618	15504.38341
619	15490.39008
620	15480.18963
621	15458.88505
622	15441.01252
623	15427.43492
624	15409.67506
625	15399.05789
626	15394.43065
627	15386.32069
628	15371.52919
629	15360.72562
630	15349.63872
631	15342.22508
632	15332.54989
633	15325.55273
634	15306.98656
635	15298.45713
636	15281.8941
637	15269.16988
638	15261.74802
639	15246.85147
640	15238.22757
641	15229.56003
642	15217.94127
643	15209.12401
644	15201.83292
645	15190.12714
646	15177.24631
647	15170.42099
648	15156.82567
649	15145.08465
650	15130.86479
651	15120.41757
652	15112.41485
653	15105.60918
654	15092.63621
655	15088.41826
656	15077.49645
657	15069.52322
658	15064.44721
659	15048.31671
660	15039.57458
661	15026.12964
662	15020.98645
663	15006.56278
664	14988.88197
665	14975.72122
666	14965.01032
667	14948.65727
668	14941.94442
669	14928.17868
670	14920.75059
671	14912.06973
672	14901.34566
673	14891.95299
674	14876.49562
675	14867.09731
676	14854.80023
677	14840.34818
678	14829.19423
679	14824.96444
680	14815.04284
681	14804.51633
682	14787.81925
683	14776.87371
684	14772.4067
685	14761.24919
686	14747.12763
687	14735.52515
688	14727.11084
689	14713.79393
690	14702.0542
691	14690.60221
692	14678.51055
693	14672.19832
694	14659.43445
695	14643.76608
696	14632.57998
697	14622.63339
698	14609.02655
699	14597.04449
700	14589.85194
701	14580.13863
702	14565.80606
703	14554.73887
704	14549.67581
705	14539.6198
706	14527.65161
707	14518.9587
708	14513.84
709	14506.11809
710	14494.57251
711	14485.54175
712	14480.79188
713	14473.3089
714	14456.55105
715	14447.85343
716	14442.8566
717	14430.30737
718	14418.76339
719	14403.05875
720	14394.13278
721	14380.92943
722	14369.38639
723	14363.88372
724	14348.86955
725	14340.98978
726	14329.88313
727	14323.8929
728	14307.94478
729	14296.04204
730	14279.01481
731	14266.7409
732	14253.38852
733	14238.53132
734	14227.03479
735	14214.11537
736	14200.94305
737	14189.83664
738	14172.57109
739	14161.31056
740	14151.45862
741	14142.95321
742	14131.19646
743	14116.22901
744	14104.90863
745	14096.53056
746	14089.65117
747	14072.16284
748	14066.65866
749	14056.2373
750	14048.23126
751	14038.24899
752	14030.17693
753	14019.0651
754	14006.53415
755	13996.78552
756	13984.97325
757	13974.4766
758	13959.1469
759	13948.742
760	13938.29472
761	13928.31268
762	13920.84229
763	13910.51921
764	13902.41351
765	13894.84229
766	13880.01178
767	13868.63591
768	13860.45218
769	13848.98382
770	13832.98772
771	13821.51241
772	13811.78408
773	13800.71653
774	13791.3742
775	13782.43598
776	13773.29583
777	13764.79411
778	13744.73378
779	13735.88317
780	13724.26605
781	13715.29585
782	13702.51496
783	13692.98186
784	13677.11919
785	13666.5263
786	13657.12546
787	13650.13621
788	13642.09195
789	13634.05394
790	13622.75537
791	13618.76116
792	13605.84312
793	13596.08107
794	13585.72501
795	13572.58487
796	13561.34799
797	13550.6618
798	13536.50882
799	13526.42244
800	13515.28929
801	13503.41071
802	13489.93469
803	13478.27426
804	13473.12581
805	13462.30497
806	13444.82609
807	13435.64348
808	13424.63955
809	13420.67935
810	13413.31997
811	13406.63599
812	13396.65322
813	13393.39498
814	13383.21449
815	13371.21692
816	13359.76806
817	13350.98883
818	13341.86407
819	13334.05963
820	13323.17829
821	13309.86097
822	13298.72038
823	13290.3771
824	13280.15144
825	13270.25955
826	13259.16842
827	13253.68812
828	13249.43355
829	13240.17447
830	13223.47912
831	13218.68255
832	13212.34019
833	13196.47768
